Symbol,Name
ACOT6,acyl-CoA thioesterase 6
ADM,adrenomedullin
AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5
AHNAK,AHNAK nucleoprotein
AKAP10,A kinase (PRKA) anchor protein 10
AKAP12,A kinase (PRKA) anchor protein 12
AKR1E2,"aldo-keto reductase family 1, member E2"
ALDOA,"aldolase A, fructose-bisphosphate"
ALDOC,"aldolase C, fructose-bisphosphate"
ALKBH5,"AlkB family member 5, RNA demethylase"
ALOXE3,arachidonate lipoxygenase 3
ANGPTL4,angiopoietin-like 4
ANKRD37,ankyrin repeat domain 37
ANKZF1,ankyrin repeat and zinc finger domain containing 1
ANO6,anoctamin 6
ARID1B,AT rich interactive domain 1B (SWI1-like)
ARRDC3,arrestin domain containing 3
ATP9A,"ATPase, class II, type 9A"
BACE2,beta-site APP-cleaving enzyme 2
BCAS4,breast carcinoma amplified sequence 4
BCCIP,BRCA2 and CDKN1A interacting protein
BCL2L2,BCL2-like 2
BHLHE40,"basic helix-loop-helix family, member e40"
BHLHE41,"basic helix-loop-helix family, member e41"
BLCAP,bladder cancer associated protein
BMP4,bone morphogenetic protein 4
BRK1,"BRICK1, SCAR/WAVE actin-nucleating complex subunit"
BZW1,basic leucine zipper and W2 domains 1
C11ORF30,chromosome 11 open reading frame 30
C11ORF49,chromosome 11 open reading frame 49
C1D,C1D nuclear receptor corepressor
C1ORF116,chromosome 1 open reading frame 116
C1ORF27,chromosome 1 open reading frame 27
C2ORF42,chromosome 2 open reading frame 42
C3ORF14,chromosome 3 open reading frame 14
C8ORF58,chromosome 8 open reading frame 58
CA9,carbonic anhydrase IX
CAV1,"caveolin 1, caveolae protein, 22kDa"
CCNG2,cyclin G2
CCNL1,cyclin L1
CDC73,cell division cycle 73
CECR5,"cat eye syndrome chromosome region, candidate 5"
CGA,"glycoprotein hormones, alpha polypeptide"
CHD2,chromodomain helicase DNA binding protein 2
CIART,circadian associated repressor of transcription
CITED2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
CLDN14,claudin 14
CLIC6,chloride intracellular channel 6
CLK3,CDC-like kinase 3
CLN5,"ceroid-lipofuscinosis, neuronal 5"
COX20,COX20 cytochrome c oxidase assembly factor
CRKL,v-crk avian sarcoma virus CT10 oncogene homolog-like
CTDSP1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"
CUX1,cut-like homeobox 1
CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1"
DAAM1,dishevelled associated activator of morphogenesis 1
DAB2IP,DAB2 interacting protein
DAPK2,death-associated protein kinase 2
DARS,aspartyl-tRNA synthetase
DAZL,deleted in azoospermia-like
DDIT4,DNA-damage-inducible transcript 4
DDX50,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
DENND1A,DENN/MADD domain containing 1A
DHCR7,7-dehydrocholesterol reductase
DHRS13,dehydrogenase/reductase (SDR family) member 13
DNAJB6,"DnaJ (Hsp40) homolog, subfamily B, member 6"
DNASE1,deoxyribonuclease I
DNM2,dynamin 2
DPT,dermatopontin
DSP,desmoplakin
DYNLL1,"dynein, light chain, LC8-type 1"
DYRK1B,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B
EGFR,epidermal growth factor receptor
EGLN3,egl-9 family hypoxia-inducible factor 3
ELF3,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"
ELL2,"elongation factor, RNA polymerase II, 2"
ELMSAN1,ELM2 and Myb/SANT-like domain containing 1
EMP3,epithelial membrane protein 3
ENO1,"enolase 1, (alpha)"
ERRFI1,ERBB receptor feedback inhibitor 1
EVL,Enah/Vasp-like
EVX1,even-skipped homeobox 1
FAM110C,"family with sequence similarity 110, member C"
FAM129B,"family with sequence similarity 129, member B"
FAM13A,"family with sequence similarity 13, member A"
FAM162A,"family with sequence similarity 162, member A"
FAM65C,"family with sequence similarity 65, member C"
FBL,fibrillarin
FBXO42,F-box protein 42
FBXW7,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"
FEM1C,fem-1 homolog c (C. elegans)
FNTB,"farnesyltransferase, CAAX box, beta"
FOS,FBJ murine osteosarcoma viral oncogene homolog
FOXO1,forkhead box O1
FUT11,"fucosyltransferase 11 (alpha (1,3) fucosyltransferase)"
GADD45B,"growth arrest and DNA-damage-inducible, beta"
GAPDH,glyceraldehyde-3-phosphate dehydrogenase
GBE1,"glucan (1,4-alpha-), branching enzyme 1"
GDF15,growth differentiation factor 15
GJA1,"gap junction protein, alpha 1, 43kDa"
GLTSCR2,glioma tumor suppressor candidate region gene 2
GOLGA1,golgin A1
GPI,glucose-6-phosphate isomerase
GPR135,G protein-coupled receptor 135
GPR37L1,G protein-coupled receptor 37 like 1
GRB10,growth factor receptor-bound protein 10
GSE1,Gse1 coiled-coil protein
GTF2IRD2B,GTF2I repeat domain containing 2B
GUK1,guanylate kinase 1
HEY1,hes-related family bHLH transcription factor with YRPW motif 1
HILPDA,hypoxia inducible lipid droplet-associated
HK2,hexokinase 2
HTR5A,"5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled"
IBA57,"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)"
IGFBP3,insulin-like growth factor binding protein 3
ILVBL,ilvB (bacterial acetolactate synthase)-like
INHA,"inhibin, alpha"
INHBA,"inhibin, beta A"
INSIG2,insulin induced gene 2
IRX1,iroquois homeobox 1
ITFG2,integrin alpha FG-GAP repeat containing 2
ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
JMJD6,jumonji domain containing 6
KCNMA1,"potassium channel, calcium activated large conductance subfamily M alpha, member 1"
KCTD15,potassium channel tetramerization domain containing 15
KDM3A,lysine (K)-specific demethylase 3A
KDM4B,lysine (K)-specific demethylase 4B
KDM4C,lysine (K)-specific demethylase 4C
KDM5B,lysine (K)-specific demethylase 5B
KIAA0195,KIAA0195
KLF10,Kruppel-like factor 10
KLHDC4,kelch domain containing 4
KLRF1,"killer cell lectin-like receptor subfamily F, member 1"
KMT2E,lysine (K)-specific methyltransferase 2E
KRT19,"keratin 19, type I"
KRT80,"keratin 80, type II"
KXD1,KxDL motif containing 1
LDHA,lactate dehydrogenase A
LINC00242,long intergenic non-protein coding RNA 242
LINC00574,long intergenic non-protein coding RNA 574
LINC01011,long intergenic non-protein coding RNA 1011
LONP1,"lon peptidase 1, mitochondrial"
LOXL2,lysyl oxidase-like 2
LPIN3,lipin 3
LRP1,low density lipoprotein receptor-related protein 1
MAB21L3,mab-21-like 3 (C. elegans)
MAF,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog
MAFK,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K
MAML1,mastermind-like 1 (Drosophila)
MAP1LC3B,microtubule-associated protein 1 light chain 3 beta
MAPK6,mitogen-activated protein kinase 6
10-Mar,"membrane-associated ring finger (C3HC4) 10, E3 ubiquitin protein ligase"
MAX,MYC associated factor X
MBTPS1,"membrane-bound transcription factor peptidase, site 1"
MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2
MGAT5,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
MICALL2,MICAL-like 2
MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
MPI,mannose phosphate isomerase
MRPL14,mitochondrial ribosomal protein L14
MRPS18A,mitochondrial ribosomal protein S18A
MSANTD3,Myb/SANT-like DNA-binding domain containing 3
MTCH2,mitochondrial carrier 2
MTFP1,mitochondrial fission process 1
MYL4,"myosin, light chain 4, alkali; atrial, embryonic"
N4BP3,NEDD4 binding protein 3
NAMPT,nicotinamide phosphoribosyltransferase
NARF,nuclear prelamin A recognition factor
NAV1,neuron navigator 1
NCOA3,nuclear receptor coactivator 3
NCOA5,nuclear receptor coactivator 5
NCOR2,nuclear receptor corepressor 2
NDRG1,N-myc downstream regulated 1
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
NOL3,nucleolar protein 3 (apoptosis repressor with CARD domain)
NR4A2,"nuclear receptor subfamily 4, group A, member 2"
NT5DC1,5'-nucleotidase domain containing 1
NTHL1,nth endonuclease III-like 1 (E. coli)
NUP210,nucleoporin 210kDa
NUPL1,nucleoporin like 1
OTUD7B,OTU deubiquitinase 7B
OXSM,"3-oxoacyl-ACP synthase, mitochondrial"
OXSR1,oxidative stress responsive 1
P2RY2,"purinergic receptor P2Y, G-protein coupled, 2"
P4HA1,"prolyl 4-hydroxylase, alpha polypeptide I"
P4HA2,"prolyl 4-hydroxylase, alpha polypeptide II"
PARD6B,par-6 family cell polarity regulator beta
PARN,poly(A)-specific ribonuclease
PC,pyruvate carboxylase
PDGFB,platelet-derived growth factor beta polypeptide
PDK1,"pyruvate dehydrogenase kinase, isozyme 1"
PFDN4,prefoldin subunit 4
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
PFKL,"phosphofructokinase, liver"
PFKP,"phosphofructokinase, platelet"
PGAM1,phosphoglycerate mutase 1 (brain)
PKM,"pyruvate kinase, muscle"
PKP2,plakophilin 2
PLOD2,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"
PNMA2,paraneoplastic Ma antigen 2
PNPO,pyridoxamine 5'-phosphate oxidase
PNRC1,proline-rich nuclear receptor coactivator 1
POU2F1,POU class 2 homeobox 1
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
PPP1CB,"protein phosphatase 1, catalytic subunit, beta isozyme"
PPP1R13L,"protein phosphatase 1, regulatory subunit 13 like"
PPP1R14B,"protein phosphatase 1, regulatory (inhibitor) subunit 14B"
PPP1R21,"protein phosphatase 1, regulatory subunit 21"
PPP1R3C,"protein phosphatase 1, regulatory subunit 3C"
PPP2R1A,"protein phosphatase 2, regulatory subunit A, alpha"
PRDM1,"PR domain containing 1, with ZNF domain"
PSMD6,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6"
PTPRB,"protein tyrosine phosphatase, receptor type, B"
PTPRM,"protein tyrosine phosphatase, receptor type, M"
PTPRN,"protein tyrosine phosphatase, receptor type, N"
PVRL4,poliovirus receptor-related 4
PXDN,peroxidasin
QSOX1,quiescin Q6 sulfhydryl oxidase 1
RAB6A,"RAB6A, member RAS oncogene family"
RAD51B,RAD51 paralog B
RAI14,retinoic acid induced 14
RAN,"RAN, member RAS oncogene family"
RAP1GAP2,RAP1 GTPase activating protein 2
RAPGEF6,Rap guanine nucleotide exchange factor (GEF) 6
RASEF,RAS and EF-hand domain containing
RASSF7,Ras association (RalGDS/AF-6) domain family (N-terminal) member 7
RBPJ,recombination signal binding protein for immunoglobulin kappa J region
RDH11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
RIT1,Ras-like without CAAX 1
RNF126,ring finger protein 126
RNF19A,"ring finger protein 19A, RBR E3 ubiquitin protein ligase"
RSBN1,round spermatid basic protein 1
RUNX1,runt-related transcription factor 1
S100A10,S100 calcium binding protein A10
S100P,S100 calcium binding protein P
SAP30,"Sin3A-associated protein, 30kDa"
SCARB1,"scavenger receptor class B, member 1"
SCD,stearoyl-CoA desaturase (delta-9-desaturase)
SCYL1,SCY1-like 1 (S. cerevisiae)
SEC61G,Sec61 gamma subunit
SEMA4B,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B"
SERTAD2,SERTA domain containing 2
SIAH2,siah E3 ubiquitin protein ligase 2
SLA,Src-like-adaptor
SLC22A18AS,"solute carrier family 22 (organic cation transporter), member 18 antisense"
SLC28A1,"solute carrier family 28 (concentrative nucleoside transporter), member 1"
SLC2A1,"solute carrier family 2 (facilitated glucose transporter), member 1"
SLC2A3,"solute carrier family 2 (facilitated glucose transporter), member 3"
SLC31A1,"solute carrier family 31 (copper transporter), member 1"
SLC35E1,"solute carrier family 35, member E1"
SLC37A3,"solute carrier family 37, member 3"
SLC38A2,"solute carrier family 38, member 2"
SLC6A19,"solute carrier family 6 (neutral amino acid transporter), member 19"
SLC8A3,"solute carrier family 8 (sodium/calcium exchanger), member 3"
SLC9A9,"solute carrier family 9, subfamily A (NHE9, cation proton antiporter 9), member 9"
SMC2,structural maintenance of chromosomes 2
SNAPC1,"small nuclear RNA activating complex, polypeptide 1, 43kDa"
SNAPC3,"small nuclear RNA activating complex, polypeptide 3, 50kDa"
SOS1,son of sevenless homolog 1 (Drosophila)
SPAG4,sperm associated antigen 4
SPRY1,"sprouty homolog 1, antagonist of FGF signaling (Drosophila)"
SRSF3,serine/arginine-rich splicing factor 3
SSUH2,ssu-2 homolog (C. elegans)
ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
STC2,stanniocalcin 2
SUMF1,sulfatase modifying factor 1
TFF1,trefoil factor 1
TFRC,transferrin receptor
TLE1,"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)"
TM2D3,TM2 domain containing 3
TMEM18,transmembrane protein 18
TMEM183A,transmembrane protein 183A
TMEM189,transmembrane protein 189
TMEM45A,transmembrane protein 45A
TMEM45B,transmembrane protein 45B
TMEM75,transmembrane protein 75
TMEM88,transmembrane protein 88
TNS1,tensin 1
TPCN2,two pore segment channel 2
TPD52,tumor protein D52
TRAM2,translocation associated membrane protein 2
TRIM33,tripartite motif containing 33
TRIM37,tripartite motif containing 37
TRIOBP,TRIO and F-actin binding protein
TSC22D2,"TSC22 domain family, member 2"
UBA6,ubiquitin-like modifier activating enzyme 6
UBC,ubiquitin C
UBE2E1,ubiquitin-conjugating enzyme E2E 1
UBE2V2,ubiquitin-conjugating enzyme E2 variant 2
UNKL,unkempt family zinc finger-like
UPK1B,uroplakin 1B
UTRN,utrophin
VDAC1,voltage-dependent anion channel 1
VGLL4,vestigial-like family member 4
VKORC1,"vitamin K epoxide reductase complex, subunit 1"
VRK1,vaccinia related kinase 1
WBSCR22,Williams Beuren syndrome chromosome region 22
WDR54,WD repeat domain 54
WDR5B,WD repeat domain 5B
WDR60,WD repeat domain 60
WDR89,WD repeat domain 89
WISP1,WNT1 inducible signaling pathway protein 1
WISP3,WNT1 inducible signaling pathway protein 3
WSB1,WD repeat and SOCS box containing 1
ZC3HAV1L,"zinc finger CCCH-type, antiviral 1-like"
ZFAT,zinc finger and AT hook domain containing
ZFP36L1,ZFP36 ring finger protein-like 1
ZNF19,zinc finger protein 19
ZNF331,zinc finger protein 331
ZNF395,zinc finger protein 395
ZNF407,zinc finger protein 407
ZNF572,zinc finger protein 572
ZSWIM4,"zinc finger, SWIM-type containing 4"